Comment,Designator,Footprint,LCSC,Quantity
5.1k,"R1,R2,R5,R6",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C105872,4
TB6612FNG,U2,SSOP-24_5.3x8.2mm_P0.65mm,C141517,1
USB_C_Receptacle_USB2.0_14P,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948,1
300r,"R3,R4",R_0402_1005Metric,C25102,2
ESP32-C3-WROOM-02,U1,ESP32-C3-WROOM-02,C2944070,1
10u,"C1,C5",C_0805_2012Metric,C408141,2
Conn_01x02_Socket,J2,AMASS_XT30U-F_1x02_P5.0mm_Vertical,C428721,1
LD1117S33TR_SOT223,U4,SOT-223-3_TabPin2,C86781,1
LED,"D1,D2",LED_0402_1005Metric,C965793,2
Conn_01x02_Socket,M2,PinHeader_1x02_P2.54mm_Vertical,,1
Conn_01x02_Socket,M1,PinHeader_1x02_P2.54mm_Vertical,,1
2.2u,C6,C_0805_2012Metric,,1
Conn_01x03_Pin,J3,PinHeader_1x03_P2.00mm_Vertical,,1
